Age,Gender,Study_Hours,Attendance,Sleep_Hours,Internet_Usage,Previous_Grade,Extra_Activities,Parental_Education,Marks,Result
23.0,M,5.0,88.0,8.0,2.0,46.0,No,,59.0,Pass
20.0,F,,52.0,4.0,5.0,82.0,Yes,Postgraduate,60.0,Pass
24.0,M,1.0,66.0,,3.0,52.0,No,Graduate,48.0,Fail
21.0,F,,73.0,8.0,2.0,76.0,Yes,Postgraduate,65.0,Pass
23.0,M,6.0,73.0,8.0,1.0,64.0,Yes,Postgraduate,,Pass
19.0,M,1.0,52.0,6.0,5.0,62.0,No,Graduate,46.0,Fail
23.0,F,2.0,94.0,7.0,5.0,90.0,Yes,Graduate,66.0,
24.0,,7.0,56.0,7.0,3.0,86.0,No,,,Pass
21.0,F,1.0,74.0,7.0,5.0,72.0,No,Postgraduate,46.0,Fail
20.0,M,7.0,52.0,5.0,3.0,44.0,Yes,Postgraduate,66.0,Pass
24.0,,4.0,,4.0,5.0,71.0,Yes,Postgraduate,69.0,Pass
,M,6.0,78.0,,3.0,69.0,No,Postgraduate,86.0,Pass
19.0,F,8.0,99.0,6.0,4.0,70.0,No,Postgraduate,105.0,Pass
22.0,F,9.0,78.0,7.0,4.0,52.0,No,Graduate,88.0,Pass
21.0,F,6.0,59.0,7.0,5.0,81.0,Yes,Postgraduate,74.0,Pass
18.0,F,9.0,81.0,8.0,5.0,44.0,Yes,Graduate,89.0,Pass
24.0,,4.0,72.0,5.0,3.0,62.0,Yes,,,Pass
22.0,,,88.0,5.0,3.0,40.0,Yes,Postgraduate,,
18.0,M,8.0,58.0,6.0,2.0,49.0,No,School,75.0,Pass
21.0,F,9.0,,,4.0,89.0,No,Graduate,96.0,Pass
17.0,M,3.0,89.0,7.0,2.0,66.0,No,Graduate,58.0,Pass
22.0,F,2.0,,6.0,2.0,93.0,Yes,School,74.0,Pass
,F,6.0,,5.0,1.0,47.0,Yes,Postgraduate,59.0,Pass
17.0,F,4.0,69.0,5.0,3.0,91.0,Yes,Graduate,77.0,Pass
19.0,M,1.0,77.0,5.0,1.0,,No,Graduate,51.0,Pass
23.0,,8.0,63.0,7.0,1.0,58.0,No,Graduate,85.0,Pass
20.0,F,9.0,93.0,7.0,2.0,,No,Graduate,113.0,Pass
25.0,M,9.0,83.0,7.0,1.0,41.0,,Graduate,76.0,Pass
19.0,F,2.0,62.0,8.0,3.0,88.0,Yes,Graduate,62.0,Pass
21.0,F,9.0,80.0,4.0,2.0,70.0,Yes,School,96.0,Pass
19.0,M,7.0,,5.0,3.0,87.0,,Postgraduate,96.0,Pass
23.0,M,5.0,88.0,5.0,5.0,92.0,No,Postgraduate,78.0,Pass
21.0,M,7.0,77.0,8.0,1.0,49.0,No,Postgraduate,,Pass
25.0,M,9.0,74.0,5.0,2.0,92.0,No,Postgraduate,107.0,Pass
23.0,F,8.0,81.0,5.0,4.0,55.0,No,School,91.0,Pass
18.0,M,6.0,58.0,7.0,3.0,76.0,Yes,School,86.0,Pass
20.0,M,4.0,77.0,7.0,1.0,59.0,Yes,Postgraduate,61.0,Pass
25.0,F,1.0,80.0,4.0,3.0,42.0,,Graduate,,Fail
18.0,M,6.0,66.0,5.0,3.0,,Yes,Postgraduate,88.0,Pass
25.0,M,3.0,72.0,6.0,,73.0,No,Graduate,59.0,Pass
